,DE_MUNICIP_org,DE_MUNICIP,PROVINCE,LONGITUDE,LATITUDE
78,ASTORGA,ASTORGA,León,-6.052963815,42.45419587
79,AVILA,ÁVILA,Ávila,-4.700065193,40.65680955
80,AYORA,AYORA,València/Valencia,-1.057467064,39.06026778
81,AÃ‘OVER DE TAJO,AÑOVER DE TAJO,Toledo,-3.76609975,39.98900362
82,BADAJOZ,BADAJOZ,Badajoz,-6.969698521,38.87890178
83,BADALONA,BADALONA,Barcelona,2.247629947,41.45016665
84,BADIA DEL VALLES,BADIA DEL VALLÈS,Barcelona,2.113718172,41.50892367
85,BAEZA,BAEZA,Jaén,-3.469641566,37.99352485
86,BAIDES,BAIDES,Guadalajara,-2.775768768,41.00681876
87,BAILEN,BAILÉN,Jaén,-3.77483982,38.09599316
88,BANYALBUFAR,BANYALBUFAR,Illes Balears,2.513704579,39.68702531
89,BARAKALDO,BARAKALDO,Bizkaia,-2.986094489,43.29758738
90,BARBADAS,BARBADÁS,Ourense,-7.887469714,42.29905445
91,BARCELONA,BARCELONA,Barcelona,2.177439664,41.38228986
92,BAREYO,BAREYO,Cantabria,-3.612027778,43.47911111
93,BARRAX,BARRAX,Albacete,-2.200771729,39.04629241
94,BARRIO DE BRICIA,ALFOZ DE BRICIA,Burgos,-3.84781048,42.90751582
95,BASCONES DE OJEDA,BÁSCONES DE OJEDA,Palencia,-4.526921383,42.67071108
96,BEARIZ,BEARIZ,Ourense,-8.273015461,42.46705567
97,BEAS,BEAS,Huelva,-6.793176374,37.42594421
98,BEAS DE SEGURA,BEAS DE SEGURA,Jaén,-2.88985229,38.25257887
99,BELORADO,BELORADO,Burgos,-3.189827177,42.42028835
100,BENALMADENA,BENALMÁDENA,Málaga,-4.573374967,36.5950052
101,BENALUA,BENALÚA,Granada,-3.169069794,37.35012457
102,BENASAU,BENASAU,Alacant/Alicante,-0.343391915,38.69040571
103,BENIARRES,BENIARRÉS,Alacant/Alicante,-0.379373765,38.81989967
104,BENICARLO,BENICARLÓ,Castelló/Castellón,0.42313527,40.41832759
105,BENICASIM,BENICÀSSIM/BENICASIM,Castelló/Castellón,0.064311178,40.05606622
106,BENIDORM,BENIDORM,Alacant/Alicante,-0.128632118,38.53943511
107,BENILLOBA,BENILLOBA,Alacant/Alicante,-0.390721569,38.69955403
108,BENQUERENCIA DE LA SERENA,BENQUERENCIA DE LA SERENA,Badajoz,-5.494741295,38.69956237
109,BERCIANOS DEL REAL CAMINO,BERCIANOS DEL REAL CAMINO,León,-5.144785295,42.38726271
110,BERGA,BERGA,Barcelona,1.84606202,42.10421268
111,BERGONDO,BERGONDO,A Coruña,-8.234269997,43.31964068
112,BERIAIN,BERIÁIN,Navarra,-1.644047064,42.73427624
113,BETXI,BETXÍ,Castelló/Castellón,-0.197434857,39.92853566
114,BILBAO,BILBAO,Bizkaia,-2.923458983,43.26421868
115,BOAL,BOAL,Asturias,-6.818490712,43.42850156
116,BORMUJOS,BORMUJOS,Sevilla,-6.071117419,37.37226896
117,BOROX,BOROX,Toledo,-3.74164544,40.06980268
118,BORRIANA/BURRIANA,BORRIANA/BURRIANA,Castelló/Castellón,-0.083524101,39.88997963
119,BREÃ‘A ALTA,BREÑA ALTA,Santa Cruz de Tenerife,-17.78694284,28.66337401
120,BREÃ‘A BAJA,BREÑA BAJA,Santa Cruz de Tenerife,-17.77552313,28.6455791
121,BROTO,BROTO,Huesca,-0.121540286,42.60343076
122,BUBION,BUBIÓN,Granada,-3.35677315,36.94884587
123,BUENAVISTA DE VALDAVIA,BUENAVISTA DE VALDAVIA,Palencia,-4.614069108,42.63680909
124,BUENAVISTA DEL NORTE,BUENAVISTA DEL NORTE,Santa Cruz de Tenerife,-16.85086015,28.3717947
125,BURGOS,BURGOS,Burgos,-3.702175883,42.34058464
126,BURON,BURÓN,León,-5.051661412,43.02445619
127,BURRIANA,BORRIANA/BURRIANA,Castelló/Castellón,-0.083524101,39.88997963
128,BUSTARES,BUSTARES,Guadalajara,-3.072352318,41.13591111
129,BUSTILLO DE LA VEGA,BUSTILLO DE LA VEGA,Palencia,-4.740589339,42.4559157
