COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ORIGENCOOR;ALTITUD;ORIGENALTITUD
01047000000;1010474;01440;01;Araba/Álava;Ribera Baja/Erriberabeitia;1493;2531,46;30540;01047000501;Ribabellosa;1179;0137-4;-2,918688966;42,71228518;Detección automática;481;MDT
01049000000;1010493;01460;01;Araba/Álava;Añana;141;2192,3285;21681;01049000201;Salinas de Añana/Gesaltza Añana;126;0137-2;-2,9865226;42,80237115;Detección automática;584;MDT
01051000000;1010513;01470;01;Araba/Álava;Agurain/Salvatierra;5173;3776,9884;37786;01051000601;Agurain/Salvatierra;5053;0113-3;-2,389753;42,850452;Investigación;608;Investigación
01052000000;1010528;01480;01;Araba/Álava;Samaniego;292;1057,8;16515;01052000101;Samaniego;292;0170-4;-2,679225962;42,56810945;Detección automática;571;MDT
01053000000;1010534;01490;01;Araba/Álava;San Millán/Donemiliaga;704;8539,21;107247;01053001101;Ordoñana/Erdoñana;46;0113-3;-2,37748303;42,87257138;Detección automática;587;MDT
01054000000;1010549;01500;01;Araba/Álava;Urkabustaiz;1460;6104,77;38000;01054000701;Izarra;1105;0111-2;-2,900347764;42,95239599;Detección automática;612;MDT
01055000000;1010552;01510;01;Araba/Álava;Valdegovía/Gaubea;1063;23823,44;104568;01055003001;Villanueva de Valdegovía;146;0111-3;-3,098138822;42,84824666;Detección automática;553;MDT
01056000000;1010565;01520;01;Araba/Álava;Harana/Valle de Arana;213;3912,1857;37971;01056000101;Alda;27;0139-2;-2,331923488;42,75439749;Detección automática;818;MDT
01057000000;1010571;01530;01;Araba/Álava;Villabuena de Álava/Eskuernaga;280;847,9289;14014;01057000101;Villabuena de Álava/Eskuernaga;280;0170-4;-2,665446963;42,54890494;Detección automática;480;MDT
01058000000;1010587;01540;01;Araba/Álava;Legutio;2094;4586;37278;01058000601;Legutio;1551;0112-2;-2,642728453;42,97783599;Detección automática;567;MDT
01059000000;1010590;01001;01;Araba/Álava;Vitoria-Gasteiz;260402;27696,48;112028;01059006301;Vitoria-Gasteiz;254777;0112-4;-2,672340318;42,84682395;Detección automática;526;MDT
01060000000;1010604;01550;01;Araba/Álava;Yécora/Iekora;276;1880,2483;20919;01060000101;Yécora/Iekora;276;0171-3;-2,47025534;42,56924393;Detección automática;692;MDT
01061000000;1010611;01560;01;Araba/Álava;Zalduondo;196;1188,87;21368;01061000101;Zalduondo;194;0113-4;-2,347933788;42,88548624;Detección automática;606;MDT
01062000000;1010626;01570;01;Araba/Álava;Zambrana;452;3957,05;43901;01062000401;Zambrana;353;0169-2;-2,877876362;42,66100415;Detección automática;460;MDT
01063000000;1010632;01580;01;Araba/Álava;Zuia;2365;12246,02;50714;01063001101;Murgia;1126;0112-1;-2,81995968;42,95630575;Detección automática;616;MDT
01901000000;1019015;01245;01;Araba/Álava;Iruña Oka/Iruña de Oca;3697;5311,28;35133;01901000201;Nanclares de la Oca/Langraiz Oka;2567;0138-1;-2,808334382;42,81803444;Detección automática;487;MDT
01902000000;1019020;01305;01;Araba/Álava;Lantarón;935;6745,49;63679;01902000401;Comunión/Komunioi;82;0137-4;-2,96649719;42,71657557;Mapa;482;MDT
02001000000;1020019;02010;02;Albacete;Abengibre;747;3076,9225;25257;02001000101;Abengibre;747;0743-4;-1,54079588;39,20975159;Detección automática;646;MDT
02002000000;1020024;02020;02;Albacete;Alatoz;506;6385,36;37234;02002000101;Alatoz;491;0767-1;-1,36100986;39,09444837;Detección automática;850;MDT
02003000000;1020030;02001;02;Albacete;Albacete;175068;112698,96;250011;02003000201;Albacete;167350;0790-2;-1,855677516;38,99613428;Detección automática;681;MDT
02004000000;1020045;02030;02;Albacete;Albatana;653;3052,82;22662;02004000101;Albatana;633;0843-4;-1,522799778;38,57110118;Detección automática;583;MDT
02005000000;1020058;02040;02;Albacete;Alborea;688;7186,76;36330;02005000101;Alborea;679;0744-1;-1,395984585;39,27968339;Detección automática;696;MDT
02006000000;1020061;02050;02;Albacete;Alcadozo;638;9958,7;53730;02006000101;Alcadozo;593;0842-2;-1,980882925;38,64886541;Detección automática;925;MDT
02007000000;1020077;02060;02;Albacete;Alcalá del Júcar;1156;14682,4446;51494;02007000101;Alcalá del Júcar;663;0744-3;-1,429208744;39,19168065;Detección automática;539;MDT
02008000000;1020083;02070;02;Albacete;Alcaraz;1281;37062,41;290208;02008000101;Alcaraz;1085;0841-1;-2,491228503;38,665085;Detección automática;958;MDT
02009000000;1020096;02080;02;Albacete;Almansa;24603;53240,79;93195;02009000101;Almansa;23816;0793-3;-1,093666988;38,87007032;Detección automática;685;MDT
02010000000;1020100;02090;02;Albacete;Alpera;2320;17837,79;56572;02010000101;Alpera;2302;0792-2;-1,230195813;38,95950447;Detección automática;850;MDT
02011000000;1020117;02100;02;Albacete;Ayna;575;14658,96;65701;02011000101;Ayna;409;0842-3;-2,068874912;38,5516053;Detección automática;656;MDT
02012000000;1020122;02110;02;Albacete;Balazote;2368;6515,3733;31749;02012000101;Balazote;2346;0790-3;-2,149583869;38,88371081;Detección automática;764;MDT
02013000000;1020138;02120;02;Albacete;Balsa de Ves;124;7589,23;40451;02013000101;Balsa de Ves;88;0744-2;-1,195733025;39,26440287;Detección automática;749;MDT
02014000000;1020143;02130;02;Albacete;El Ballestero;411;13869,3693;49399;02014000101;El Ballestero;399;0789-3;-2,455110396;38,84174162;Detección automática;1022;MDT
02015000000;1020156;02140;02;Albacete;Barrax;1872;18977,03;52778;02015000101;Barrax;1856;0764-4;-2,200771729;39,04629241;Detección automática;732;MDT
02016000000;1020169;02150;02;Albacete;Bienservida;549;9191,28;58978;02016000101;Bienservida;538;0840-4;-2,611428683;38,51576879;Detección automática;896;MDT
02017000000;1020175;02160;02;Albacete;Bogarra;730;16601,4619;77106;02017000201;Bogarra;529;0841-4;-2,212994902;38,58170355;Detección automática;854;MDT
02018000000;1020181;02170;02;Albacete;Bonete;948;12553,48;55884;02018000101;Bonete;945;0792-4;-1,347425971;38,87143732;Detección automática;890;MDT
02019000000;1020194;02180;02;Albacete;El Bonillo;2646;50286,73;154516;02019000101;El Bonillo;2609;0788-2;-2,540370224;38,95065772;Detección automática;1065;MDT
02020000000;1020208;02190;02;Albacete;Carcelén;490;7536,3731;38287;02020000101;Carcelén;437;0767-2;-1,308754234;39,10212071;Detección automática;908;MDT
02021000000;1020215;02200;02;Albacete;Casas de Juan Núñez;1421;8898,2779;42030;02021000101;Casas de Juan Núñez;1403;0766-2;-1,557443989;39,10184136;Detección automática;705;MDT
02022000000;1020220;02210;02;Albacete;Casas de Lázaro;297;11231,6773;70760;02022000201;Casas de Lázaro;212;0815-2;-2,239471505;38,7710003;Detección automática;939;MDT
02023000000;1020236;02220;02;Albacete;Casas de Ves;530;12540,85;69475;02023000101;Casas de Ves;529;0744-2;-1,333949346;39,25913103;Detección automática;704;MDT
02024000000;1020241;02230;02;Albacete;Casas-Ibáñez;4614;10325,14;56102;02024000101;Casas-Ibáñez;4602;0744-1;-1,470085531;39,28776299;Detección automática;704;MDT
02025000000;1020254;02240;02;Albacete;Caudete;10481;14123,86;49596;02025000101;Caudete;9715;0819-4;-0,989022494;38,70384746;Detección automática;554;MDT
02026000000;1020267;02250;02;Albacete;Cenizate;1167;6326,0153;35204;02026000101;Cenizate;1167;0743-2;-1,661369435;39,30411742;Detección automática;704;MDT
02027000000;1020273;02260;02;Albacete;Corral-Rubio;302;9475,5686;42347;02027000101;Corral-Rubio;270;0792-3;-1,460420446;38,83482009;Detección automática;872;MDT
02028000000;1020289;02270;02;Albacete;Cotillas;123;1446,9288;15802;02028000201;Cotillas;82;0866-1;-2,506203588;38,43115109;Detección automática;936;MDT
02029000000;1020292;02280;02;Albacete;Chinchilla de Monte-Aragón;4659;67927,33;163946;02029000201;Chinchilla de Monte-Aragón;3246;0791-1;-1,724648889;38,92110241;Detección automática;880;MDT
02030000000;1020306;02290;02;Albacete;Elche de la Sierra;3606;23972,04;87214;02030000101;Elche de la Sierra;3197;0867-1;-2,047856656;38,4482521;Detección automática;629;MDT
02031000000;1020313;02300;02;Albacete;Férez;604;12615,86;56954;02031000101;Férez;566;0867-4;-2,009178451;38,35598559;Detección automática;681;MDT
02032000000;1020328;02310;02;Albacete;Fuensanta;294;2411,25;26689;02032000101;Fuensanta;279;0742-3;-2,068453029;39,2449841;Detección automática;693;MDT
02033000000;1020334;02320;02;Albacete;Fuente-Álamo;2426;13337,12;45590;02033000101;Fuente-Álamo;2361;0818-3;-1,431501442;38,69291562;Detección automática;822;MDT
02034000000;1020349;02330;02;Albacete;Fuentealbilla;1798;10829,379;64740;02034000301;Fuentealbilla;1622;0743-2;-1,548521576;39,26655637;Detección automática;657;MDT
02035000000;1020352;02340;02;Albacete;La Gineta;2652;13713,52;49977;02035000101;La Gineta;2398;0765-2;-1,996040561;39,11443927;Detección automática;686;MDT
02036000000;1020365;02350;02;Albacete;Golosalvo;79;2817,6676;24505;02036000101;Golosalvo;79;0743-4;-1,635625343;39,23864379;Detección automática;737;MDT
02037000000;1020371;02360;02;Albacete;Hellín;30911;77929,12;152972;02037000501;Hellín;25430;0843-3;-1,702431559;38,51224545;Detección automática;561;MDT
02038000000;1020387;02370;02;Albacete;La Herrera;316;6342,58;42320;02038000201;La Herrera;272;0790-1;-2,126325657;38,96165563;Detección automática;713;MDT
02039000000;1020390;02380;02;Albacete;Higueruela;1142;20453,82;86516;02039000301;Higueruela;1116;0792-1;-1,443104612;38,96179796;Detección automática;1008;MDT
02040000000;1020404;02390;02;Albacete;Hoya-Gonzalo;582;11548,87;48199;02040000101;Hoya-Gonzalo;579;0791-2;-1,556158148;38,95695937;Detección automática;927;MDT
